"INSTNM","MN_EARN_WNE_P7","MN_EARN_WNE_P6","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","CITY","STABBR","INSTURL","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","LOAN_EVER","CONTROL"
"179","Southeast Arkansas College","26000","24200","26400","28600","28800","Pine Bluff","AR","www.seark.edu","3500","4436.5","3500","0.301470588","Public"
"180","Professional Cosmetology Education Center","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","15700","16200","El Dorado","AR","www.pcec.edu","8177","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"181","Pulaski Technical College","27400","25300","27600","30200","30900","North Little Rock","AR","www.pulaskitech.edu","11318","10260","6500","0.722096956","Public"
"182","University of Arkansas Community College-Hope","24200","25100","25700","26400","26300","Hope","AR","www.uacch.edu","2625","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"183","Rich Mountain Community College","22900","19200","22600","24300","25300","Mena","AR","www.rmcc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"184","Paul Mitchell the School-Arkansas","PrivacySuppressed","17600","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Fayetteville","AR","www.pmtsarkansas.com","9500","9833","8285","0.897959184","Private"
"185","Searcy Beauty College","15000","14300","16200","14100","15000","Searcy","AR","searcybeautycollege.com/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.834951456","Private"
"186","Shorter College","NULL","NULL","NULL","NULL","NULL","N Little Rock","AR","www.shortercollege.org/","9500","PrivacySuppressed","PrivacySuppressed","0.950511945","Private"
"187","Williams Baptist College","29400","26600","31400","35200","34400","Walnut Ridge","AR","www.wbcoll.edu","10000","10000","8125","0.847025496","Private"
"188","South Arkansas Community College","27900","27500","28800","29900","29300","El Dorado","AR","www.southark.edu","8250","7000","5500","0.44391635","Public"
"189","Southern Arkansas University Main Campus","32400","31100","33200","38700","38100","Magnolia","AR","WWW.SAUMAG.EDU","9500","10000","9500","0.712074303","Public"
"190","Southern Arkansas University Tech","28500","25400","27400","27700","31300","Camden","AR","www.sautech.edu","3500","5500","5500","0.410575428","Public"
"191","Velvatex College of Beauty Culture","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Little Rock","AR","www.velvatexcollege.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"192","University of Arkansas-Fort Smith","30200","28800","30400","32200","33500","Fort Smith","AR","uafs.edu/","6625","7520","6000","0.54099419","Public"
"193","Academy of Art University","37900","31400","39300","44100","44900","San Francisco","CA","www.academyart.edu","14245","15500","18096","0.912734325","Private"
"194","ITT Technical Institute-Rancho Cordova","36700","33100","38300","40000","42800","Rancho Cordova","CA","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"195","Academy of Chinese Culture and Health Sciences","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","Oakland","CA","www.acchs.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"196","The Academy of Radio and TV Broadcasting","27200","27300","29500","29400","30800","Huntington Beach","CA","WWW.ARBRADIO.COM","9300","PrivacySuppressed","PrivacySuppressed","0.757352941","Private"
"197","Avalon School of Cosmetology-Alameda","21100","18000","20300","26200","24900","Alameda","CA","avalon.edu/locations/alameda-ca/","6835.5","7000","6273","0.941391941","Private"
"198","College of Alameda","29900","26500","33400","36500","36400","Alameda","CA","www.peralta.edu","6300","PrivacySuppressed","PrivacySuppressed","0.033975085","Public"
"199","Allan Hancock College","29500","25400","30200","32500","33900","Santa Maria","CA","www.hancockcollege.edu/","6417","5500","5500","0.065439673","Public"
"200","American Academy of Dramatic Arts-Los Angeles","NULL","23300","32800","NULL","35300","Los Angeles","CA","WWW.AADA.EDU","12000","9500","8500","0.903073286","Private"
"201","American Baptist Seminary of the West","NULL","NULL","NULL","PrivacySuppressed","NULL","Berkeley","CA","www.absw.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"202","American Film Institute Conservatory","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","Los Angeles","CA","www.AFI.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"203","American Beauty College","PrivacySuppressed","14300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","West Covina","CA","www.american-beauty-college.com","3500","PrivacySuppressed","PrivacySuppressed","0.877358491","Private"
"204","American Career College-Los Angeles","31400","27900","31900","31400","32900","Los Angeles","CA","americancareercollege.edu/","9500","9500","9500","0.915350275","Private"
"205","American Conservatory Theater","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","San Francisco","CA","www.act-sf.org","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"206","American River College","30200","27000","31800","32900","34800","Sacramento","CA","www.arc.losrios.edu/","7000","7293.5","5429.5","0.112638248","Public"
"207","Antelope Valley College","29100","26000","29600","31300","33100","Lancaster","CA","www.avc.edu","8439.5","7500","5500","0.16108631","Public"
"208","Art Center College of Design","46600","47400","53500","54700","60800","Pasadena","CA","www.artcenter.edu","31210","29250","27750","0.89148581","Private"
"209","Associated Technical College-Los Angeles","25700","23500","25200","26100","28100","Los Angeles","CA","www.atcla.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.567430025","Private"
"210","Associated Technical College-San Diego","19700","19700","19200","21500","21900","San Diego","CA","www.associatedtechcollege.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.778425656","Private"
"211","Azusa Pacific University","48200","43600","47600","51700","53300","Azusa","CA","www.apu.edu","18330","18528","18500","0.920787208","Private"
"212","Bakersfield College","28500","26300","30300","32900","34900","Bakersfield","CA","www.bakersfieldcollege.edu/","8237","6500","5500","0.033357331","Public"
"213","Barstow Community College","30200","25900","30900","33800","35500","Barstow","CA","www.barstow.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"214","Bellus Academy-National City","19400","16800","20000","20700","19300","National City","CA","www.bellusacademy.edu","13620","PrivacySuppressed","PrivacySuppressed","0.888","Private"
"215","Bethesda University","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Anaheim","CA","www.buc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.64957265","Private"
"216","Biola University","41700","35000","42700","44400","46700","La Mirada","CA","www.biola.edu","20000","21000","19500","0.926102503","Private"
"217","Brooks Institute","28900","26800","31700","34100","34300","Ventura","CA","www.brooks.edu","26219","26501","26000","0.933035714","Private"
"218","Brownson Technical School","47700","39300","44900","PrivacySuppressed","42600","Anaheim","CA","www.brownson.edu","9392","9439","5500","0.81292517","Private"
"219","Bryan University","34700","36700","36500","39800","43500","Los Angeles","CA","www.bryancollege.edu","7059.5","11332","16500","0.899179933","Private"
"220","Butte College","29700","26900","30900","34700","35800","Oroville","CA","www.butte.edu","8500","6500","5500","0.159605741","Public"
"221","Phillips Graduate Institute","NULL","NULL","NULL","NULL","NULL","Chatsworth","CA","pgi.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"222","California Institute of Integral Studies","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","San Francisco","CA","www.ciis.edu","18750","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"223","Cabrillo College","33300","28300","34100","38000","40500","Aptos","CA","www.cabrillo.edu","9000","5500","5500","0.076899788","Public"
"224","California Baptist University","39500","36900","39800","43100","43800","Riverside","CA","www.calbaptist.edu","19250","21500","19500","0.914562063","Private"
"225","California College of the Arts","33600","32000","38800","45000","45500","San Francisco","CA","www.cca.edu","27000","25000","19500","0.901010101","Private"
"226","University of California-Hastings College of Law","111000","100500","118500","121800","116300","San Francisco","CA","www.uchastings.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"227","California Institute of Technology","66900","85500","80500","94800","90300","Pasadena","CA","www.caltech.edu","PrivacySuppressed","PrivacySuppressed","11750","0.611464968","Private"
"228","California Lutheran University","45300","38100","48000","54600","55500","Thousand Oaks","CA","www.callutheran.edu/","20250","19000","18548.5","0.90356212","Private"
"229","California Polytechnic State University-San Luis Obispo","54800","47800","59900","61800","67400","San Luis Obispo","CA","calpoly.edu","16166.5","16000","16833","0.816639073","Public"
"230","Alliant International University-San Diego","54200","56100","56200","55200","60600","San Diego","CA","www.alliant.edu","3000","4000","3000","0.978888889","Private"
"231","California State University-Bakersfield","41400","35400","43800","47200","47700","Bakersfield","CA","www.csub.edu","10000","10335","13000","0.478131213","Public"
"232","California State University-Stanislaus","38600","33200","39300","43500","45100","Turlock","CA","www.csustan.edu","12500","11475.5","15500","0.482246953","Public"
"233","California State University-San Bernardino","40500","34600","40600","45500","46100","San Bernardino","CA","www.csusb.edu","14534","13062","15425","0.497988625","Public"
"234","California State Polytechnic University-Pomona","45200","38200","47800","52500","54400","Pomona","CA","www.cpp.edu","13333","14900","18340","0.580194562","Public"
"235","California State University-Chico","42900","37400","45900","47700","50300","Chico","CA","www.csuchico.edu","13250","15000","15000","0.729923274","Public"
"236","California State University-Dominguez Hills","40900","35600","41500","45500","45400","Carson","CA","www.csudh.edu","13750","12500","13000","0.462855396","Public"
"237","California State University-Fresno","38700","34300","39800","45600","46600","Fresno","CA","www.csufresno.edu","12000","13383","15000","0.399086236","Public"
"238","California State University-Fullerton","41200","36100","43400","47700","49000","Fullerton","CA","www.fullerton.edu","11000","12500","15000","0.490544954","Public"
"239","California State University-East Bay","47000","41700","48000","52700","55000","Hayward","CA","www.csueastbay.edu","12500","12500","12500","0.604634453","Public"
"240","California State University-Long Beach","42600","36500","44100","48300","50400","Long Beach","CA","www.csulb.edu","12500","13601","15000","0.581834832","Public"
"241","California State University-Los Angeles","40300","35700","41700","45900","46100","Los Angeles","CA","www.calstatela.edu","11285","11000","12500","0.392449938","Public"
"242","California State University-Northridge","39700","34300","41600","45500","47100","Northridge","CA","www.csun.edu","11000","11100","14000","0.488049244","Public"
"243","California State University-Sacramento","43000","38100","45600","48100","49900","Sacramento","CA","www.csus.edu","13070.5","13000","14466","0.536080711","Public"
"244","University of California-Berkeley","57600","51200","62500","72600","74000","Berkeley","CA","www.berkeley.edu","12605","14108","14500","0.641904762","Public"
"245","University of California-Davis","49900","41700","53700","62900","66000","Davis","CA","www.ucdavis.edu","12185","13500","13000","0.731272163","Public"
"246","University of California-Irvine","47700","39600","51500","57700","60600","Irvine","CA","www.uci.edu/","14240.5","15125","15500","0.711194199","Public"
"247","University of California-Los Angeles","54900","47000","58800","65900","72600","Los Angeles","CA","www.ucla.edu/","14332.5","15900","15000","0.705410582","Public"
"248","University of California-Riverside","40600","34200","43500","49300","51100","Riverside","CA","WWW.UCR.EDU","16451","16997.5","18138","0.734423275","Public"
"249","University of California-San Diego","51400","41700","55200","63800","69400","La Jolla","CA","www.ucsd.edu","18233","18500","15000","0.752802918","Public"
"250","University of California-San Francisco","120100","99500","131100","130900","139600","San Francisco","CA","www.ucsf.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"251","University of California-Santa Barbara","46000","38100","49600","54900","58200","Santa Barbara","CA","www.ucsb.edu","14500","14967.5","14000","0.771464252","Public"
"252","University of California-Santa Cruz","38600","33400","42400","46700","49300","Santa Cruz","CA","www.ucsc.edu/","16916","17533","15000","0.838086957","Public"
"253","Sofia University","NULL","NULL","NULL","NULL","NULL","Palo Alto","CA","www.sofia.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"254","California Beauty School","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Modesto","CA","www.calbeautycollege.edu","8171","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
